html_num_tags('iframe'),html_num_tags('script'),html_num_tags('embed'),html_num_tags('object'),html_num_tags('div'),html_num_tags('head'),html_num_tags('body'),html_num_tags('form'),html_num_tags('a'),html_num_tags('small'),html_num_tags('span'),html_num_tags('input'),html_num_tags('applet'),html_num_tags('img'),html_num_tags('video'),html_num_tags('audio'),label
0,2,0,0,41,1,1,1,16,0,0,8,0,4,0,0,malicious
0,2,0,0,41,1,1,1,18,0,1,13,0,4,0,0,malicious
0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,malicious
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,malicious
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,malicious
0,26,0,0,60,1,1,1,5,0,7,8,0,3,0,0,malicious
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,malicious
1,34,0,0,51,1,1,1,14,0,13,4,0,3,0,0,malicious
0,3,0,0,9,1,1,1,3,0,0,5,0,4,0,0,malicious
0,1,0,0,17,1,1,1,1,0,2,2,0,5,0,0,malicious
0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,malicious
0,4,0,0,170,1,1,6,78,0,21,15,0,16,0,0,malicious
0,2,0,0,9,1,1,1,1,0,7,2,0,0,0,0,malicious
0,2,0,0,41,1,1,1,18,0,1,13,0,4,0,0,malicious
0,2,0,0,41,1,1,1,16,0,0,8,0,4,0,0,malicious
0,2,0,0,41,1,1,1,18,0,1,13,0,4,0,0,malicious
0,2,0,0,41,1,1,1,16,0,0,8,0,4,0,0,malicious
0,2,0,0,41,1,1,1,16,0,0,8,0,4,0,0,malicious
0,2,0,0,36,1,1,1,15,0,0,8,0,4,0,0,malicious
2,3,0,0,102,1,1,3,8,0,21,38,0,2,0,0,malicious
0,2,0,0,41,1,1,1,16,0,0,8,0,4,0,0,malicious
0,2,0,0,41,1,1,1,16,0,0,8,0,4,0,0,malicious
0,2,0,0,41,1,1,1,18,0,1,13,0,4,0,0,malicious
0,9,0,0,14,1,1,1,4,1,5,5,0,1,0,0,malicious
0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,malicious
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,malicious
0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,malicious
0,27,0,0,75,1,1,1,20,0,9,8,0,2,0,0,malicious
0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,malicious
0,2,0,0,36,1,1,1,15,0,0,8,0,4,0,0,malicious
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,malicious
0,1,0,0,6,1,1,1,0,0,0,3,0,3,0,0,malicious
0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,malicious
0,0,0,0,25,1,1,1,2,1,1,3,0,3,0,0,malicious
0,13,0,0,36,1,1,1,2,0,2,9,0,7,0,0,malicious
0,7,0,0,32,1,1,1,16,0,1,6,0,3,0,0,malicious
0,0,0,0,5,1,1,0,1,0,1,0,0,0,0,0,malicious
0,0,0,0,47,1,1,1,17,0,1,3,0,4,0,0,malicious
0,2,0,0,41,1,1,1,18,0,1,13,0,4,0,0,malicious
0,2,0,0,41,1,1,1,18,0,1,13,0,4,0,0,malicious
0,1,0,0,61,1,1,1,16,0,7,2,0,2,0,0,malicious
0,2,0,0,41,1,1,1,18,0,1,13,0,4,0,0,malicious
0,2,0,0,36,1,1,1,15,0,0,13,0,4,0,0,malicious
0,2,0,0,41,1,1,1,16,0,0,8,0,4,0,0,malicious
0,2,0,0,36,1,1,1,15,0,0,8,0,4,0,0,malicious
0,2,0,0,41,1,1,1,18,0,1,13,0,4,0,0,malicious
0,2,0,0,41,1,1,1,16,0,0,8,0,4,0,0,malicious
0,2,0,0,41,1,1,1,16,0,0,8,0,4,0,0,malicious
0,9,0,0,7,1,1,2,0,0,1,2,0,0,0,0,benign
0,12,0,0,154,1,1,1,46,0,69,4,0,24,0,0,benign
1,8,0,0,138,1,1,0,30,3,32,0,0,7,0,0,benign
0,11,0,0,32,1,1,1,4,0,6,9,0,0,0,0,benign
1,50,0,0,144,1,1,3,69,0,12,5,0,16,0,0,benign
0,41,0,0,595,1,1,1,257,0,411,15,0,21,0,0,benign
0,16,0,0,496,1,1,1,492,0,169,1,0,142,0,0,benign
1,16,0,0,538,1,1,0,210,0,208,0,0,84,0,0,benign
2,33,0,0,139,1,1,3,520,0,58,6,0,13,0,1,benign
2,6,0,0,195,1,1,2,113,0,94,2,0,18,0,0,benign
0,8,0,0,59,1,1,2,52,0,80,0,0,0,0,0,benign
1,34,0,0,352,1,1,2,312,0,61,1,0,4,0,2,benign
0,19,0,0,103,1,1,13,122,0,17,41,0,3,0,1,benign
0,21,0,0,60,1,1,1,25,0,5,12,0,8,0,0,benign
0,10,0,0,88,1,1,0,97,0,2,0,0,13,0,0,benign
0,5,0,0,2,1,1,0,1,0,0,0,0,0,0,0,benign
0,7,0,0,9,1,1,0,27,0,7,0,0,1,0,0,benign
1,41,0,0,568,1,1,3,152,0,97,4,0,6,0,0,benign
1,58,0,0,428,1,1,0,85,0,35,0,0,7,0,0,benign
0,13,0,0,31,1,1,0,7,0,0,0,0,3,0,0,benign
1,5,0,0,47,1,1,0,39,1,0,0,0,3,0,0,benign
0,17,0,0,222,1,1,1,123,0,13,5,0,32,9,0,benign
0,20,0,0,123,1,1,1,54,3,36,9,0,24,0,0,benign
1,11,0,0,159,1,1,3,45,2,126,69,0,2,0,0,benign
0,13,0,0,8,1,1,1,132,2,4,1,0,5,0,0,benign
2,15,0,0,162,1,1,1,49,0,41,3,0,24,0,0,benign
1,13,0,0,36,1,1,1,94,0,4,1,0,1,0,0,benign
0,12,0,0,66,1,1,1,104,0,91,1,0,4,0,0,benign
0,7,0,0,29,1,1,0,45,0,0,0,0,5,0,0,benign
0,2,0,0,12,1,1,2,2,2,0,5,0,2,0,0,benign
0,4,0,0,24,1,1,2,5,0,7,6,0,1,0,0,benign
0,7,0,0,31,1,1,1,2,0,1,2,0,2,0,0,benign
1,14,0,0,160,1,1,3,76,0,102,10,0,4,0,0,benign
0,10,0,0,122,1,1,1,99,0,21,9,0,2,0,0,benign
1,16,0,0,4,1,1,1,25,0,3,10,0,3,0,0,benign
0,7,0,0,14,1,1,0,0,0,0,0,0,0,0,0,benign
3,7,0,0,23,1,1,1,5,0,3,6,0,0,0,0,benign
0,29,0,0,99,1,1,3,135,0,75,12,0,13,0,0,benign
0,23,0,0,53,1,1,3,15,0,18,10,0,3,0,0,benign
1,5,0,0,7,1,1,1,6,0,2,6,0,2,0,0,benign
0,5,0,0,1,1,1,0,0,0,0,0,0,0,0,0,benign
3,49,0,0,179,1,1,2,45,0,7,27,0,10,0,0,benign
0,13,0,0,25,1,1,1,5,0,8,3,0,2,0,0,benign
1,9,0,0,103,1,1,2,60,0,63,11,0,6,0,0,benign
0,5,0,0,13,1,1,0,2,0,0,0,0,0,0,0,benign
0,6,0,0,21,1,1,1,4,0,2,3,0,2,0,0,benign
0,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,benign
0,21,0,0,188,1,1,2,138,0,76,3,0,17,0,0,benign
0,2,0,0,41,1,1,1,18,0,1,13,0,4,0,0,malicious
0,1,0,0,22,1,1,1,1,0,3,4,0,0,0,0,malicious
0,3,0,0,8,1,1,1,5,0,0,4,0,6,0,0,malicious
