url_len,url_num_hyphens_dom,url_num_dom_token,url_path_len,url_filename_len,url_longest_dom_token_len,url_average_dom_token_len,url_domain_len,url_hostname_len,url_num_dots,url_num_underscores,url_num_equals,url_num_slashes,url_num_dash,url_num_semicolon,url_num_at,url_num_percent,url_num_plus,url_query_len,url_num_query_para,url_ip_present,url_entropy,url_count_consonants,url_num_digits,url_chinese_present,url_port,url_has_https,url_has_ip_address,url_num_subdomains,url_has_suspicious_words,url_length_category,url_has_port_in_url,url_num_special_chars,url_num_params,url_num_fragments,url_starts_with_www,url_is_shortened,url_has_email,html_num_tags('iframe'),html_num_tags('script'),html_num_tags('embed'),html_num_tags('object'),html_num_tags('div'),html_num_tags('head'),html_num_tags('body'),html_num_tags('form'),html_num_tags('a'),html_num_tags('small'),html_num_tags('span'),html_num_tags('input'),html_num_tags('applet'),html_num_tags('img'),html_num_tags('video'),html_num_tags('audio'),repu
45,1,4,10,9,11,6.0,27,27,4,0,0,3,1,0,0,0,0,0,0,0,4.23564587381899,25,0,0,80,1,0,2,1,0,0,1,0,0,1,0,0,0,2,0,0,41,1,1,1,18,0,1,13,0,4,0,0,malicious
36,2,3,1,0,18,8.666666666666666,28,28,2,0,0,3,2,0,0,0,0,0,0,0,4.0067499186387785,18,0,0,80,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,41,1,1,1,18,0,1,13,0,4,0,0,malicious
36,0,3,5,4,15,7.0,23,23,2,0,0,3,0,0,0,0,0,0,0,0,4.231746181697386,25,0,0,80,1,0,1,0,0,0,1,0,0,1,0,0,0,3,0,0,11,1,1,1,2,0,1,5,0,1,0,0,malicious
36,0,3,5,4,15,7.0,23,23,2,0,0,3,0,0,0,0,0,0,0,0,4.141604167868593,23,0,0,80,1,0,1,0,0,0,1,0,0,1,0,0,0,3,0,0,11,1,1,1,2,0,1,5,0,1,0,0,malicious
41,0,3,11,8,14,6.666666666666667,22,22,2,1,0,4,0,0,0,0,0,0,0,0,4.060935920258811,21,4,0,80,1,0,1,0,0,0,1,0,0,1,0,0,2,44,0,0,663,1,1,2,422,2,332,12,0,72,0,0,benign
43,0,2,18,9,12,8.0,17,17,2,0,0,4,0,0,0,0,0,0,0,0,4.257319115016275,24,0,0,80,1,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,41,1,1,1,18,0,1,13,0,4,0,0,malicious
32,2,2,1,0,20,11.5,24,24,1,0,0,3,2,0,0,0,0,0,0,0,4.093139062229566,16,0,0,80,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,46,1,1,1,19,0,1,13,0,4,0,0,malicious
42,1,2,10,9,21,12.0,25,25,4,0,0,3,1,0,0,0,0,0,0,0,4.39768795823549,20,6,0,80,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,42,1,1,1,10,0,14,5,0,1,0,0,malicious
29,1,2,1,0,17,9.5,20,20,1,0,0,3,1,0,0,0,0,0,0,0,4.1162646156680225,15,0,0,80,1,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,32,1,1,1,9,0,3,18,0,1,0,0,malicious
36,0,3,7,6,13,6.666666666666667,22,22,3,0,0,3,0,0,0,0,0,0,0,0,3.7635585991342375,23,0,0,80,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,236,1,1,5,36,0,57,8,0,4,0,0,malicious
97,0,3,68,0,14,6.666666666666667,22,22,6,0,0,7,1,0,0,0,0,0,0,0,4.343974570213125,51,1,0,80,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,674,1,1,6,514,4,20,10,0,8,0,0,malicious
69,0,3,34,8,20,8.666666666666666,28,28,3,0,0,6,1,0,0,0,0,0,0,0,4.3249338425631265,40,0,0,80,0,0,1,0,1,0,1,0,0,1,0,0,0,2,0,0,6,1,1,1,0,0,0,3,0,3,0,0,malicious
27,1,2,1,0,15,9.0,19,19,1,0,0,3,1,0,0,0,0,0,0,0,4.032303242743952,14,1,0,80,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,malicious
37,2,2,1,0,25,14.0,29,29,1,0,0,3,2,0,0,0,0,0,0,0,4.0440637580947945,19,0,0,80,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,malicious
36,0,2,1,0,22,13.0,27,27,1,0,0,3,0,0,0,0,0,0,0,0,3.8638263900908156,21,0,0,80,1,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,84,1,1,2,31,0,49,8,0,10,0,0,malicious
34,2,2,1,0,21,12.0,25,25,1,0,0,3,2,0,0,0,0,0,0,0,4.1973257087065035,20,0,0,80,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,36,1,1,1,15,0,0,13,0,4,0,0,malicious
43,0,3,1,0,16,10.666666666666666,34,34,2,0,0,3,0,0,0,0,0,0,0,0,3.9873274760758837,24,3,0,80,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,11,1,1,1,3,0,1,2,0,1,0,0,malicious
49,0,2,17,9,20,11.5,24,24,2,0,0,4,0,0,0,0,0,0,0,0,4.239524579110022,29,0,0,80,1,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,41,1,1,1,16,0,0,8,0,4,0,0,malicious
32,2,2,1,0,19,11.0,23,23,1,0,0,3,2,0,0,0,0,0,0,0,4.241729296672175,16,0,0,80,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,malicious
79,0,2,58,0,9,6.0,13,13,1,1,0,6,0,0,0,0,0,0,0,0,4.7037348242035835,36,18,0,80,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,malicious
31,0,3,1,0,10,7.0,23,23,2,0,0,3,0,0,0,0,0,0,0,0,3.84888461662912,23,0,0,80,0,0,1,0,0,0,1,0,0,0,0,0,0,10,0,0,16,1,1,1,15,0,4,11,0,7,0,0,malicious
100,0,2,79,0,10,6.0,13,13,1,0,0,6,0,0,0,0,0,0,0,0,5.094526659705836,46,33,0,80,1,0,0,1,2,0,1,0,0,0,0,0,0,2,0,0,30,1,1,0,1,0,3,2,0,2,1,0,malicious
38,1,2,18,0,10,6.0,13,13,2,0,0,6,1,0,0,0,0,0,0,0,4.221097250057957,19,0,0,80,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,malicious
41,1,4,10,9,13,5.0,23,23,4,0,0,3,1,0,0,0,0,0,0,0,4.405855662943599,24,0,0,80,1,0,2,1,0,0,1,0,0,1,0,0,0,2,0,0,41,1,1,1,18,0,1,13,0,4,0,0,malicious
53,2,2,10,9,31,17.0,35,35,2,0,0,3,2,0,0,0,0,0,0,0,4.269727765598213,30,0,0,80,1,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,41,1,1,1,18,0,1,13,0,4,0,0,malicious
39,1,3,10,9,13,6.333333333333333,21,21,3,0,0,3,1,0,0,0,0,0,0,0,4.1949067057088945,21,0,0,80,1,0,1,1,0,0,1,0,0,1,0,0,0,2,0,0,41,1,1,1,18,0,1,13,0,4,0,0,malicious
61,0,3,29,9,11,7.666666666666667,25,25,3,0,0,4,1,0,0,0,0,0,0,0,4.2420532246006815,36,0,0,80,0,0,1,0,1,0,1,0,0,0,0,0,0,12,0,1,6,1,1,1,0,0,5,12,0,7,0,0,malicious
49,2,3,10,9,23,9.666666666666666,31,31,3,0,0,3,2,0,0,0,0,0,0,0,4.117075599518184,29,0,0,80,1,0,1,1,0,0,1,0,0,1,0,0,0,2,0,0,36,1,1,1,15,0,0,8,0,4,0,0,malicious
334,0,3,7,6,6,4.0,14,14,2,2,8,3,3,0,0,0,0,304,8,0,5.31507470311719,164,25,0,80,1,0,1,0,2,0,9,8,0,1,0,0,0,5,0,0,73,1,1,1,14,0,25,4,0,0,0,0,benign
329,0,3,7,6,6,4.0,14,14,2,3,8,3,2,0,0,0,0,299,8,0,5.282133897443492,166,15,0,80,1,0,1,0,2,0,9,8,0,1,0,0,0,5,0,0,73,1,1,1,14,0,25,4,0,0,0,0,benign
